text,label,movie,row_id,source
观影一个半小时中，怎么还不结束？如芒在背如鲠在喉如坐针毡，真难看啊，又吵，跟第一部剧情有可比性吗？太无聊了,负向,疯狂动物城2 Zootopia 2,003412e4e1a6c2ee86aa84e3568a98e51065937a2bcf8ec85a5e84e5902d3a98,canonical_douban_2025_2026
iffr2026 能在异国他乡看见这么典型的龙标院线电影，真的太亲切了?,负向,我的妈耶,006477f4f941af2dd71982c9929003cdd9ccb6f7386de55e3bc103848a72fb49,canonical_douban_2025_2026
把四渡赤水这种神迹拍成一坨真是难为全体主创了?教员和蒋光头从来不是双雄，光头在教员面前只是路边一条and博纳你不如直接拍赵德发传?,负向,四渡,0065ef69e84ec3f31bfe27fd5a14a704652eef3a1ab7ee792e678e489400ff9c,canonical_douban_2025_2026
两个玩具结婚真的很可怕,中性,玩具总动员5 Toy Story 5,00883920f5a8fbe3bd20da62749b9e12e1cd674a701ca2efd9a0b6fb547ba344,canonical_douban_2025_2026
一个老头子和四个长发男搞的惊天大劫案！ 一个老头子配一把折叠刀干掉20多个手拿斧头钢管的黑帮暴徒之后还能和一个后生仔单挑互捅三四刀一起坠楼之后又能从大爆炸中生存之后又拖着伤病之躯把一车五六个刑警干翻并且逃之夭夭！梁家辉就是港澳版的战狼！谁赞成？谁反对？！ 菜市场专享航天纳米级99.999 反射率的污水坑，助你一眼识人脸！加速破案进程！ 他们到底给了多少钱才让两个香港老牌演员肯开口互飙一口烫嘴的普通话？ 监控能黑！电梯能黑！2部手机放一起你tmd也能黑！？ 居民楼没监控，废弃的孤儿院你就有心思装监控？ 主角光环就是强，歹徒都只敢弄晕你而没有其他想法。 一大把年纪了还打打杀杀动刀动枪的，打不完又死不了，老派打星的狼狈谢幕啊！ 江湖恩怨父子情，抢劫教父任我行。 随便反转如儿戏，又臭又长不自明。,负向,捕风追影,0090bbf044e33e8e48d9498c255dbc962b7f72cdb77425a28af8433b824b6a50,canonical_douban_2025_2026
马老师罗老师二搭啦！哈哈哈还是夫妻哈哈哈哈！ 看完了，以为对剧情什么的不会感冒，但是还是有可看性的，剧本很完整，俺也留lui了最后。期待马老师罗老师继续搭下去，真的很般配！,中性,我的妈耶,009b22b8971e28d6e668f9a37648675bd678b84682d55b8e01eb7c464c95fd93,canonical_douban_2025_2026
直接原地吓尿，当你有优秀演员和一个真正理解调度和视角的导演时，一部恐怖片能有多好。你几乎不能移开视线哪怕一秒，否则你就会错过关键的角色信息，或者错过导演在场景中引导你注意力的方式，然后整场戏的意义都会发生变化，那个 门的揭示 桥段太出色了，简单但极其有效，而且紧接着的那个镜头更是让它更上一层楼，既令人不安，又非常精彩。确实有些地方可能有点套路甚至可以预测，包括对各种爆头的独特情愫，以及我觉得结尾稍微有点仓促，但我依然很享受最后的反转，影片在残酷与愤世嫉俗方面最为出彩，探讨了欲望、执念、过度渴求，以及那句老话 小心你所许的愿望 。那些跳脸绝对是把我吓得震颤，但真正的恐惧来自于耐心的铺陈、角色时刻的发酵，既让人不适，又时常带点幽默，直到不再好笑。,正向,痴迷 Obsession,0111b9da7fdbb8936aed28caa113a7c062b69ff0f99e4778eab256416a568ae0,canonical_douban_2025_2026
以照片和底片作为揭露屠城血证的线索，用平民视角和封闭空间以小见大，在外界刺激和内在情绪之间找准平衡。相机的快门和枪械的扳机是扣应的，摄影也成为一种武器。冲洗照片就像是对它的反击 赛璐珞底片显影于白色相纸上，由浅入深浮现一段段罪行，成为历史的见证。每个角色都是立体的，演员的表演增添了情感浓度。电影风格克制，在适当节点拔高。结尾的处理有设计感，人物服务于主题而非逻辑了，这样的安排显然是为提供情绪价值和宣泄的出口，能理解这背后的商业目的。美术和服化道是肉眼可见的贵，摄影的调子浅淡暗灰，加深了戏剧的氛围和感受的力度，尾声一小节色彩比重才加上来，让冰冷的历史有了血肉温度。,正向,南京照相馆,0133a608d6861b42efa8f831dccfbe5b3caddb106aa49c32287117156268c496,canonical_douban_2025_2026
六十岁的布拉德皮特，七十岁的成龙和梁家辉，贡献了2025年目前最爽的商业大片。,正向,捕风追影,013e80fb65ef5d42220095c9644455cd92206573fe1348ff571c02447e7e6c72,canonical_douban_2025_2026
谁想出来的把杨幂和易烊千玺放在一部电影里，好歹毒，再多听他俩念一句台词我就得把耳朵割了！,负向,惊蛰无声,0147fe8b07943dccaad9c57c7a37473b24fab071196fbdb31baae2d2bb7b8b8a,canonical_douban_2025_2026
怎么过审的？体制内必看！,正向,长安的荔枝,017d313aac6d611aec58f15a5bcd53ea46cfde24b5a6fffe214efee7cf52d587,canonical_douban_2025_2026
申奥导演有一个优点就是不强行塑造日本人不存在的内疚,正向,南京照相馆,0181163fb4a89b55b89e8c99c266a43c22a5ba676c2ff806c1a3f72aeb00b610,canonical_douban_2025_2026
两个男主都像在演别人 脸谱化 没魂儿,中性,抓特务,01e6151fdd2c7ff249ce394181fa15b78da1f0c0df3b3aac0ca915fc830d5f64,canonical_douban_2025_2026
把大家都叫来就为了这点事啊？,中性,揭秘日 Disclosure Day,023ec51761bc90ce6174318a2eacc1c4158a301463b2456fdaa54eabc7202b13,canonical_douban_2025_2026
